,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote
Afghanistan,30.106 693 ,14.098 459 , 85.472 639,,15.012 887 ,7.030 283 , 42.621 455,,... ,... , ...,,28.015 564 ,12.972 187 , 84.026 872,,18.939 394 ,8.769 603 , 56.804 783,,... ,... , ...,,28.663 758 ,12.86 604 , 91.164 552,,31.172 492 ,13.992 112 , 99.143 534,,... ,... , ...,,28.143 889 ,12.107 308 , 94.124 152,,32.320 587 ,13.904 094 , 108.09 266,,... ,... , ...,,27.953 074 ,11.654 653 , 98.759 236,,33.285 094 ,13.877 766 , 117.597 458,,... ,... , ...,,26.114 015 ,10.268 132 , 96.073 182,,34.604 385 ,13.606 579 , 127.309 162,,... ,... , ...,
Albania,63.417 722 ,50.894 729 , 75.218 235,"Children estimates were not available at the time of publication.",58.483 034 ,46.934 486 , 69.36 532,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",65.294 118 ,52.619 377 , 77.200 692,"Children estimates were not available at the time of publication.",63.423 423 ,51.111 817 , 74.988 871,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",66.813 671 ,54.143 383 , 79.041 972,"Children estimates were not available at the time of publication.",66.171 617 ,53.623 085 , 78.282 409,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",68.129 572 ,55.244 042 , 80.659 148,"Children estimates were not available at the time of publication.",60.122 699 ,48.75 153 , 71.179 747,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",71.414 243 ,57.446 563 , 85.238 665,"Children estimates were not available at the time of publication.",58.286 517 ,46.886 446 , 69.569 664,"Children estimates were not available at the time of publication.",77.819 549 ,62.599 076 , 92.883 915,"Children estimates were not available at the time of publication.",76.269 531 ,61.596 584 , 91.836 261,"Children estimates were not available at the time of publication.",59.026 889 ,47.67 113 , 71.074 369,"Children estimates were not available at the time of publication.",81.264 637 ,65.630 718 , 97.850 876,"Children estimates were not available at the time of publication."
Algeria,85.323 616 ,75.936 982 , 95.909 489,,72.581 957 ,64.59 706 , 81.587 006,,86.701 054 ,77.162 885 , 97.457 822,,86.603 175 ,77.390 353 , 97.653 275,,79.341 022 ,70.900 745 , 89.46 451,,86.700 969 ,77.477 743 , 97.763 547,,88.34 113 ,79.109 476 , 99.639 031,,81.766 693 ,73.222 068 , 92.223 793,,86.700 909 ,77.640 658 , 97.789 043,,89.618 012 ,80.099 577 , 100.862 011,,85.303 393 ,76.243 219 , 96.006 055,,86.700 969 ,77.492 357 , 97.578 979,,90.578 821 ,80.956 176 , 101.677 901,,88.164 823 ,78.79 863 , 98.968 104,,89.585 563 ,80.068 437 , 100.562 935,,91.328 766 ,81.856 066 , 103.034 867,,88.015 733 ,78.886 664 , 99.297 185,,... ,... , ...,
Angola,39.04 873 ,32.652 356 , 46.180 514,,50.203 912 ,41.980 264 , 59.373 057,,... ,... , ...,,40.817 113 ,34.212 627 , 48.404 472,,52.372 328 ,43.89 813 , 62.107 648,,... ,... , ...,,45.40 828 ,38.017 471 , 54.069 972,,54.528 787 ,45.653 493 , 64.930 229,,... ,... , ...,,50.705 064 ,42.60 206 , 60.873 088,,52.864 404 ,44.416 323 , 63.465 447,,... ,... , ...,,55.724 502 ,46.758 696 , 66.553 803,,43.632 228 ,36.612 011 , 52.11 156,,... ,... , ...,,59.91 046 ,50.027 077 , 71.693 591,,45.44 144 ,37.945 , 54.378 818,,... ,... , ...,
Argentina,88.320 541 ,78.489 186 , 97.228 744,,61.525 742 ,54.677 036 , 67.731 363,,... ,... , ...,,89.806 156 ,80.031 301 , 99.212 425,,62.622 164 ,55.806 121 , 69.18 119,,... ,... , ...,,91.053 183 ,81.197 235 , 100.816 423,,63.788 569 ,56.883 848 , 70.628 342,,... ,... , ...,,92.119 825 ,82.034 911 , 102.056 819,,65.004 334 ,57.887 917 , 72.016 372,,... ,... , ...,,93.056 179 ,82.716 271 , 103.25 256,,66.634 408 ,59.230 347 , 73.935 694,,... ,... , ...,,93.922 853 ,83.120 385 , 104.447 429,,65.804 157 ,58.23 574 , 73.177 877,,... ,... , ...,
Armenia,44.537 219 ,40.379 944 , 52.641 274,,51.733 286 ,46.904 303 , 61.146 747,,75.329 567 ,68.298 016 , 89.036 641,,49.074 074 ,44.511 245 , 57.40 455,,57.389 937 ,52.053 913 , 67.132 056,,66.89 038 ,60.67 102 , 78.245 228,,55.022 489 ,49.74 297 , 64.076 039,,63.828 338 ,57.70 388 , 74.330 827,,82.177 161 ,74.292 096 , 95.698 815,,60.685 921 ,54.770 687 , 70.698 003,,69.303 986 ,62.548 724 , 80.737 893,,83.407 672 ,75.277 682 , 97.168 432,,59.378 238 ,53.573 733 , 69.551 504,,80.279 232 ,72.431 556 , 94.033 463,,85.820 896 ,77.431 496 , 100.52 458,,67.806 643 ,61.206 588 , 80.003 366,,70.077 595 ,63.256 494 , 82.682 805,,80.177 187 ,72.373 028 , 94.599 062,
Australia,88.651 041 ,72.260 427 , 101.598 585,"Children estimates were not available at the time of publication.",87.182 883 ,71.063 716 , 99.916 002,"Children estimates were not available at the time of publication.",95.414 328 ,77.773 256 , 109.349 655,"Children estimates were not available at the time of publication.",89.548 072 ,72.625 971 , 102.708 404,"Children estimates were not available at the time of publication.",88.596 064 ,71.853 866 , 101.616 485,"Children estimates were not available at the time of publication.",95.572 778 ,77.512 175 , 109.618 524,"Children estimates were not available at the time of publication.",90.19 069 ,72.759 645 , 103.491 824,"Children estimates were not available at the time of publication.",89.902 021 ,72.526 767 , 103.160 583,"Children estimates were not available at the time of publication.",96.986 617 ,78.242 132 , 111.29,"Children estimates were not available at the time of publication.",90.353 618 ,72.583 825 , 103.69 861,"Children estimates were not available at the time of publication.",90.884 682 ,73.010 445 , 104.30 811,"Children estimates were not available at the time of publication.",97.407 197 ,78.250 181 , 111.793 984,"Children estimates were not available at the time of publication.",91.266 498 ,73.069 583 , 104.824 481,"Children estimates were not available at the time of publication.",91.230 769 ,73.040 978 , 104.783 444,"Children estimates were not available at the time of publication.",97.120 803 ,77.756 644 , 111.548 465,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,77.406 065 ,60.873 722 , 104.985 484,,71.024 058 ,55.85 478 , 96.329 597,,76.019 185 ,59.783 051 , 103.104 465,,81.204 468 ,63.798 815 , 110.915 023,,73.704 147 ,57.90 614 , 100.670 534,,86.908 304 ,68.280 071 , 118.705 741,
